0.000000 	 0 	 3.000000 	 0.000000 	 3.000000 	 3.229849
0.500000 	 1 	 3.000000 	 0.841471 	 3.420735 	 3.708073
1.000000 	 2 	 3.420735 	 0.909297 	 3.875384 	 3.994996
1.500000 	 3 	 3.875384 	 0.141120 	 3.945944 	 3.826822
2.000000 	 4 	 3.945944 	 -0.756802 	 3.567543 	 3.358169
2.500000 	 5 	 3.567543 	 -0.958924 	 3.088081 	 3.019915
3.000000 	 6 	 3.088081 	 -0.279415 	 2.948373 	 3.123049
3.500000 	 7 	 2.948373 	 0.656987 	 3.276866 	 3.572750
4.000000 	 8 	 3.276866 	 0.989358 	 3.771545 	 3.955565
4.500000 	 9 	 3.771545 	 0.412118 	 3.977605 	 3.919536
5.000000 	 10 	 3.977605 	 -0.544021 	 3.705594 	 3.497787
5.500000 	 11 	 3.705594 	 -0.999990 	 3.205599 	 3.078073
6.000000 	 12 	 3.205599 	 -0.536573 	 2.937313 	 3.046277
6.500000 	 13 	 2.937313 	 0.420167 	 3.147396 	 3.431631
7.000000 	 14 	 3.147396 	 0.990607 	 3.642700 	 3.879844
7.500000 	 15 	 3.642700 	 0.650288 	 3.967844 	 3.978830
8.000000 	 16 	 3.967844 	 -0.287903 	 3.823892 	 3.637582
8.500000 	 17 	 3.823892 	 -0.961397 	 3.343193 	 3.169842
9.000000 	 18 	 3.343193 	 -0.750987 	 2.967700 	 3.005648
9.500000 	 19 	 2.967700 	 0.149877 	 3.042638 	 3.295959
